all lines with 'Langobard'...:
Tag	Token	Sentence
PRS-B	Langobardorum	Haec_0 a_0 Gripone_PRS-B Childebertho_PRS-I rege_0 relata_0 ,_0 confestim_0 exercitum_0 in_0 Italiam_GEO-B commovere_0 iubet_0 ac_0 viginti_0 duces_0 ad_0 Langobardorum_PRS-B gentem_0 debellandam_0 dirigit_0 ._0
PRS-B	Langobardis	Olo_0 autem_0 dux_0 ad_0 Bilitionem_GEO-B huius_0 urbis_0 castrum_0 ,_0 in_0 campis_0 situm_0 Caninis_PRS-B ,_0 inportunae_0 accedens_0 ,_0 iaculo_0 sub_0 papilla_0 sauciatus_0 ,_0 cecidit_0 et_0 mortuus_0 est._0 Hi_0 autem_0 cum_0 egressi_0 fuissent_0 in_0 praeda_0 ,_0 ut_0 aliquid_0 victus_0 adquirerent_0 ,_0 a_0 Langobardis_PRS-B inruentibus_0 passim_0 per_0 loca_0 prosternebantur_0 ._0
GEO-B	Langobardos	Super_0 huius_0 laci_0 litus_0 Langobardos_GEO-B resedere_0 audierant_0 ._0
PRS-B	Langobardorum	Ad_0 quem_0 cum_0 adpropinquassent_0 ,_0 priusquam_0 flumen_0 ,_0 quod_0 diximus_0 ,_0 transirent_0 ,_0 a_0 litore_0 illo_0 unus_0 Langobardorum_PRS-B stans_0 ,_0 lorica_0 protectus_0 et_0 galea_0 ,_0 contum_0 manu_0 gestans_0 ,_0 vocem_0 dedit_0 contra_0 Francorum_0 exercitum_0 ,_0 dicens_0 <COLON>_0 '_0 Hodie_PRS-B apparebit_0 ,_0 cui_0 Divinitas_PRS-B obtenere_0 victuriam_0 praestit_0 '_0 ._0
PRS-B	Langobardi	Unde_0 intellegi_0 datur_0 ,_0 hoc_0 signum_0 sibi_0 Langobardi_PRS-B praeparavisse_0 ._0
PRS-B	Langobardum	Tunc_0 pauci_0 transeuntes_0 ,_0 contra_0 Langobardum_PRS-B hunc_0 decertantes_0 ,_0 prostraverunt_0 eum_0 ;_0
GRP-B	Langobardorum	omnis_0 exercitus_0 Langobardorum_GRP-B in_0 fugam_0 versus_0 praeteriit_0 ._0
PRS-I	Langobardorum	At_0 Aptacharius_PRS-B Langobardorum_PRS-I rex_0 legationem_0 ad_0 Gunthchramnum_PRS-B regem_0 cum_0 huiuscemodi_0 verbis_0 direxit_0 <COLON>_0 '_0 Nos_0 ,_0 piissimi_0 rex_0 ,_0 subiecti_0 atque_0 fidelis_0 vobis_0 gentique_0 vestrae_0 ,_0 sicut_0 patribus_0 vestris_0 fuimus_0 ,_0 esse_0 desideramus_0 ;_0
PRS-B	Langobardorum	Alboenus_PRS-B quoque_0 rex_0 Langobardorum_PRS-B Chlothsindam_PRS-B ,_0 filiam_0 regis_0 ,_0 accepit_0 ._0
GEO-B	Langobardis	Quod_0 Alboenus_PRS-B cum_0 Langobardis_GEO-B Italiam_GEO-B occupavit_0 ._0
PRS-B	Langobardorum	Alboenus_PRS-B vero_0 Langobardorum_PRS-B rex_0 ,_0 qui_0 Chlothosindam_PRS-B ,_0 regis_0 Chlothari_PRS-B filiam_0 ,_0 habebat_0 ,_0 relecta_0 regione_0 sua_0 ,_0 Italiam_GEO-B cum_0 omni_0 illa_0 Langobardorum_GEO-B gente_0 petiit_0 ._0
GEO-B	Langobardorum	Alboenus_PRS-B vero_0 Langobardorum_PRS-B rex_0 ,_0 qui_0 Chlothosindam_PRS-B ,_0 regis_0 Chlothari_PRS-B filiam_0 ,_0 habebat_0 ,_0 relecta_0 regione_0 sua_0 ,_0 Italiam_GEO-B cum_0 omni_0 illa_0 Langobardorum_GEO-B gente_0 petiit_0 ._0
0	Langobardi	Langobardi_0 deinceps_0 alium_0 super_0 se_0 regem_0 statuunt_0 ._0
