all lines with 'Pectav'...:
Tag	Token	Sentence
GRP-B	Pectavi	Nam_0 cum_0 primitus_0 sanctus_0 Dei_PRS-B apud_0 Condatinsem_PRS-B ,_0 ut_0 dixemus_0 ,_0 vicum_0 aegrotare_0 coepisset_0 ,_0 Pectavi_GRP-B populi_0 ad_0 eius_0 transitum_0 sicut_0 Toronici_GEO-B convenerunt_0 ._0
0	Pectavi	Dicebant_0 enim_0 Pectavi_0 <COLON>_0 '_0 Noster_0 est_0 monachus_0 ,_0 nobis_0 abba_0 extetit_0 ,_0 nos_0 requiremus_0 commendatum_0 ._0
PRS-B	Pectavensibus	His_0 ergo_0 litigantibus_0 ,_0 sol_0 ruente_0 nox_0 clauditur_0 ,_0 corpusque_0 in_0 medio_0 positum_0 ,_0 firmatis_0 serra_0 usteis_0 ,_0 ab_0 utroque_0 populo_0 costoditur_0 ,_0 futurum_0 ut_0 mane_0 facto_0 a_0 Pectavensibus_PRS-B per_0 violentiam_0 aufereretur_0 ._0
PRS-B	Pectava	Denique_0 nocte_0 media_0 omnes_0 Pectava_PRS-B somno_0 falanga_0 conpraemitur_0 ,_0 nec_0 ullus_0 superfuit_0 ,_0 qui_0 ex_0 hac_0 multitudine_0 vigilaret_0 ._0
PRS-B	Pectavi	De_0 quorum_0 vocibus_0 Pectavi_PRS-B expergefacti_0 ,_0 nihil_0 de_0 thesauro_0 quem_0 costodiebant_0 habentes_0 ,_0 cum_0 magna_0 confusione_0 ad_0 propria_0 sunt_0 reversi_0 ._0
GEO-B	Pectavum	Haec_0 vero_0 ,_0 acceptis_0 his_0 rebus_0 ,_0 quas_0 diximus_0 ,_0 in_0 Pectavum_GEO-B rediit_0 ,_0 multa_0 in_0 abbatissam_0 crimina_0 evomens_0 falsa_0 ,_0 quae_0 parens_0 eius_0 proxima_0 habebatur_0 ._0
PRS-B	Pectavensis	De_0 scandalum_0 monasterii_0 Pectavensis_PRS-B ._0
PRS-B	Pectavensi	Cum_0 autem_0 scandalum_0 ,_0 quod_0 ,_0 serente_0 diabulo_0 ,_0 in_0 monasterio_0 Pectavensi_PRS-B ortum_0 ,_0 in_0 ampliore_0 cotidie_0 iniquitate_0 consurgerit_0 et_0 Chrodieldis_PRS-B ,_0 adgregatis_0 sibi_0 ,_0 ut_0 supra_0 diximus_0 ,_0 homicidis_0 ,_0 maleficis_0 ,_0 adulteris_0 ,_0 fugitivis_0 vel_0 reliquorum_0 criminum_0 reis_0 ,_0 in_0 seditione_0 parata_0 resederet_0 ,_0 iussit_0 eos_0 ,_0 ut_0 ,_0 inruentes_0 nocte_0 monasterium_0 ,_0 abbatissam_0 foris_0 extraherent_0 ._0
PRS-B	Pectavae	Ob_0 hanc_0 causam_0 Childebertus_PRS-B rex_0 mediocritatis_0 nostrae_0 personam_0 cum_0 Eberegiselum_PRS-B Agripinensim_PRS-I et_0 ipsum_0 urbis_0 Pectavae_PRS-B Maroveum_GRP-B episcopum_0 iussit_0 adesse_0 ;_0
PRS-B	Pectava	Abbatissam_0 vero_0 nonnisi_0 tantum_0 nomine_0 nossit_0 ,_0 seque_0 eam_0 numquam_0 vidisse_0 neque_0 cum_0 eadem_0 colloquium_0 habuisse_0 professus_0 est_0 ,_0 praesertim_0 cum_0 hic_0 amplius_0 quam_0 quadraginta_0 ab_0 urbe_0 Pectava_PRS-B milibus_0 degeret_0 ._0
