all lines with 'Iudae'...:
Tag	Token	Sentence
GRP-B	Iudaeis	Domino_0 autem_0 Deo_PRS-B nostro_0 Iesu_PRS-B Christo_PRS-I paenitentiam_0 praedicante_0 ,_0 baptismi_0 gratiam_0 tribuente_0 vel_0 caelestem_0 regnum_0 cunctis_0 gentibus_0 promittente_0 atque_0 prodigia_0 et_0 signa_0 per_0 populos_0 operante_0 ,_0 hoc_0 est_0 dum_0 de_0 aquas_0 vina_0 profert_0 ,_0 dum_0 febris_0 extinguit_0 ,_0 dum_0 caecis_0 lumen_0 tribuit_0 ,_0 dum_0 sepultis_0 vitam_0 restituit_0 ,_0 dum_0 obsessus_0 ab_0 inmundis_0 spiritibus_0 liberat_0 ,_0 dum_0 leprosus_0 miserabili_0 turpentes_0 cute_0 reformat_0 ,_0 hac_0 dum_0 alia_0 multa_0 signa_0 faciens_0 manefestissime_0 se_0 Deum_PRS-B populis_0 esse_0 declarat_0 ,_0 in_0 Iudaeis_GRP-B ira_0 succenditur_0 ,_0 invidia_0 exagitatur_0 ,_0 ac_0 mens_0 de_0 sanguine_0 profetarum_0 pasta_0 ,_0 ut_0 iustum_0 interimat_0 ,_0 iniuste_0 molitur_0 ._0
GRP-B	Iudaeis	Ergo_0 ,_0 ut_0 veterum_0 vatum_0 conplerentur_0 oracula_0 ,_0 a_0 discipolo_0 traditur_0 ,_0 a_0 pontificibus_0 condemnatur_0 ,_0 a_0 Iudaeis_GRP-B inluditur_0 ,_0 cum_0 iniquis_0 crucifigitur_0 ,_0 a_0 militibus_0 ,_0 amisso_0 spiritu_0 ,_0 custoditur_0 ._0
PRS-B	Iudaeos	Magna_0 post_0 Iacobi_PRS-B apostoli_0 necem_0 Iudaeos_PRS-B calamitas_0 adsecuta_0 est._0 Nam_0 adveniente_0 Vispasiano_PRS-B et_0 templum_0 incensum_0 est_0 ,_0 et_0 sexcenta_0 milia_0 Iudaeorum_GRP-B eo_0 bello_0 gladio_0 et_0 fame_0 adfectae_0 sunt_0 ._0
GRP-B	Iudaeorum	Magna_0 post_0 Iacobi_PRS-B apostoli_0 necem_0 Iudaeos_PRS-B calamitas_0 adsecuta_0 est._0 Nam_0 adveniente_0 Vispasiano_PRS-B et_0 templum_0 incensum_0 est_0 ,_0 et_0 sexcenta_0 milia_0 Iudaeorum_GRP-B eo_0 bello_0 gladio_0 et_0 fame_0 adfectae_0 sunt_0 ._0
PRS-B	Iudaeis	qui_0 vero_0 crediderant_0 ex_0 pauperibus_0 erant_0 ,_0 iuxta_0 illud_0 Domini_PRS-B quod_0 Iudaeis_PRS-B exprobrat_0 ,_0 dicens_0 <COLON>_0 Quia_0 meretrices_0 et_0 publicani_0 praecedunt_0 vos_0 in_0 regno_0 Dei._PRS-B Hi_0 vero_0 ,_0 non_0 obtentam_0 a_0 quo_0 petierant_0 domum_0 ,_0 Leocadium_PRS-B quendam_0 et_0 primum_0 Galliarum_GRP-B senatorem_0 ,_0 qui_0 de_0 stirpe_0 Vecti_PRS-B Epagati_PRS-B fuit_0 ,_0 quem_0 Lugduno_PRS-B passum_0 pro_0 Christi_PRS-B nomine_0 superius_0 memoravimus_0 ,_0 repererunt_0 ._0
0	Iudaeis	Iudaeis_0 valde_0 carus_0 ac_0 subditus_0 erat_0 ,_0 non_0 pro_0 salute_0 ,_0 ut_0 pastoris_0 cura_0 debet_0 esse_0 sollicita_0 ,_0 sed_0 pro_0 comparandis_0 speciebus_0 ,_0 quas_0 ,_0 cum_0 hic_0 blandiretur_0 et_0 illi_0 se_0 adulatores_0 manifestissime_0 declararent_0 ,_0 maiori_0 quam_0 constabant_0 pretio_0 venundabant_0 ._0
PRS-B	Iudaeis	Nam_0 Eufrasius_PRS-B presbiter_0 ,_0 filius_0 quondam_0 senatoris_0 Euvodi_PRS-B ,_0 susceptas_0 a_0 Iudaeis_PRS-B species_0 magnas_0 regi_0 per_0 cognatum_0 suum_0 Beregisilum_PRS-B misit_0 ,_0 ut_0 scilicet_0 ,_0 quod_0 meritis_0 optinere_0 non_0 poterat_0 ,_0 praemiis_0 optineret_0 ._0
GRP-B	Iudaeo	regressus_0 quoque_0 domum_0 ,_0 vocato_0 quodam_0 Iudaeo_GRP-B ,_0 ventosas_0 ,_0 quorum_0 beneficio_0 oculis_0 lumen_0 augeret_0 ,_0 humeris_0 superponit_0 ._0
PRS-B	Iudaeum	Nam_0 perstiterat_0 hic_0 in_0 sanitate_0 ,_0 si_0 Iudaeum_PRS-B non_0 induxisset_0 super_0 divinam_0 virtutem_0 ._0
PRS-B	Iudaeis	De_0 Iudaeis_PRS-B conversis_0 per_0 Avitum_PRS-B episcopum_0 ._0
