all lines with 'German'...:
Tag	Token	Sentence
PRS-B	Germanus	Sed_0 praefectus_0 urbis_0 Romae_GEO-B Germanus_PRS-B eius_0 anticipavit_0 nuntium_0 ,_0 et_0 conpraehensum_0 ,_0 disruptis_0 epistulis_0 ,_0 consensum_0 ,_0 quod_0 populus_0 fecerat_0 ,_0 imperatori_0 direxit_0 ._0
0	germanus	Cumque_0 germanus_0 eius_0 Faramodus_PRS-B presbiter_0 pro_0 episcopato_0 concurreret_0 ,_0 Eusebius_PRS-B quidam_0 negotiator_0 genere_0 Syrus_GRP-B ,_0 datis_0 multis_0 muneribus_0 ,_0 in_0 locum_0 eius_0 subrogatus_0 est_0 ;_0
0	germano	Exinde_0 vir_0 Dei_PRS-B ,_0 Spiritu_PRS-B ,_0 ut_0 diximus_0 ,_0 sancto_0 repletus_0 ,_0 ad_0 patriam_0 ,_0 genitore_0 ac_0 germano_0 defunctis_0 ,_0 regreditur_0 ,_0 consolaturus_0 Pelagiam_GEO-B genitricem_0 ,_0 quae_0 nullum_0 parentem_0 praeter_0 hanc_0 sobolem_0 spectabat_0 ._0
GRP-B	Germani	Huius_0 tempore_0 et_0 basilica_0 sancti_0 Germani_GRP-B aedificata_0 est._0 Vici_GEO-B etiam_0 Noviliacus_PRS-B et_0 Luciliacus_PRS-B fundati_0 sunt_0 ._0
0	germano	Expletoque_0 bello_0 ,_0 ait_0 Aetius_PRS-B Thorismodo_PRS-I <COLON>_0 '_0 Festina_0 velociter_0 redire_0 in_0 patriam_0 ,_0 ne_0 insistente_0 germano_0 a_0 patris_0 regno_0 priveris_0 '_0 ._0
GEO-B	Germaniam	Nam_0 cum_0 dicit_0 ,_0 Maximum_GRP-B intra_0 Aquileiam_GEO-B ,_0 amissam_0 omnem_0 spem_0 imperii_0 ,_0 quasi_0 amentem_0 resedere_0 ,_0 adiungit_0 <COLON>_0 Eo_0 tempore_0 Genobaude_PRS-B ,_0 Marcomere_PRS-B et_0 Sunnone_PRS-B ducibus_0 Franci_PRS-B in_0 Germaniam_GEO-B prorupere_0 ,_0 ac_0 pluribus_0 mortalium_0 limite_0 inrupto_0 caesis_0 ,_0 fertiles_0 maxime_0 pagus_0 depopulati_0 ,_0 Agrippinensi_GEO-B etiam_0 Coloniae_GEO-B metum_0 incusserunt_0 ._0
GEO-B	Germania	In_0 quarto_0 vero_0 libro_0 ,_0 cum_0 de_0 interfectione_0 Victuris_PRS-B ,_0 fili_0 Maximi_PRS-B tyranni_0 ,_0 narraret_0 ,_0 ait_0 <COLON>_0 Eo_0 tempore_0 Carietto_PRS-B et_0 Sirus_GRP-B in_0 locum_0 Nanneni_PRS-B subrogati_0 ,_0 in_0 Germania_GEO-B cum_0 exercitu_0 opposito_0 Francis_PRS-B diversabantur_0 ._0
GEO-B	Germania	Et_0 post_0 pauca_0 ,_0 cum_0 Franci_PRS-B de_0 Germania_GEO-B praedas_0 tulissent_0 ,_0 adiecit_0 <COLON>_0 Nihil_0 Arbogastis_PRS-B differre_0 volens_0 ,_0 conmonet_0 caesarem_0 poenas_0 debetas_0 a_0 Francis_PRS-B exigendas_0 ,_0 nisi_0 universa_0 ,_0 quae_0 superiore_0 anno_0 caesis_0 legionibus_0 diripuerant_0 ,_0 confestim_0 restituerent_0 auctorisque_0 belli_0 traderent_0 ,_0 in_0 quos_0 violatae_0 pacis_0 perfidia_0 poneretur_0 ._0
GEO-B	Germanias	Quo_0 exterreti_0 ,_0 Edobecco_GEO-B ad_0 Germanias_GEO-B gentes_0 praemisso_0 ,_0 Constans_PRS-B et_0 praefectus_0 iam_0 Decimius_PRS-B Rusticus_GRP-B ex_0 officiorum_0 magistro_0 petunt_0 Gallias_PRS-B ,_0 cum_0 Francis_GEO-B et_0 Alamannis_GRP-B omnique_0 militum_0 manu_0 ad_0 Constantinum_GRP-B iam_0 iamque_0 redituri_0 ._0
GRP-B	Germani	Basilicam_0 sancti_0 Laurenti_GRP-B et_0 sancti_0 Germani_GRP-B Licaniacensis_GEO-B vici_0 iussit_0 aedificare_0 ._0
GEO-B	Germaniae	Maxime_0 tunc_0 Novimpopulanae_GEO-B geminaeque_0 Germaniae_GEO-B urbes_0 ab_0 hac_0 tempestate_0 depopulatae_0 sunt_0 ._0
