all lines with 'Paris'...:
Tag	Token	Sentence
PRS-B	Parisiacis	Hic_0 ergo_0 missi_0 sunt_0 <COLON>_0 Turonicis_PRS-B Catianus_PRS-I episcopus_0 ,_0 Arelatensibus_PRS-B Trophimus_GRP-B episcopus_0 ,_0 Narbonae_PRS-B Paulos_GRP-B episcopus_0 ,_0 Tolosae_PRS-B Saturninus_GRP-B episcopus_0 ,_0 Parisiacis_PRS-B Dionisius_GRP-B episcopus_0 ,_0 Arvernis_GRP-B Stremonius_GRP-I episcopus_0 ,_0 Lemovicinis_GRP-B Martialis_GRP-I est_0 distinatus_0 episcopus_0 ._0
GRP-B	Parisiorum	De_0 his_0 vero_0 beatus_0 Dionisius_PRS-B Parisiorum_GRP-B episcopus_0 ,_0 diversis_0 pro_0 Christi_PRS-B nomine_0 adfectus_0 poenis_0 ,_0 praesentem_0 vitam_0 gladio_0 inminente_0 finivit_0 ._0
GRP-B	Parisius	Unde_0 factum_0 est_0 ,_0 ut_0 egrediens_0 de_0 Cavillonno_GRP-B ,_0 quasi_0 Parisius_GRP-B accedere_0 cupiens_0 ,_0 usque_0 ad_0 terminos_0 Sinonicae_GEO-B urbis_0 accederet_0 ._0
GEO-B	Parisiacae	Erat_0 autem_0 tunc_0 temporis_0 Theudulfus_PRS-B diaconus_0 urbis_0 Parisiacae_GEO-B ,_0 qui_0 sibi_0 videbatur_0 in_0 aliquo_0 sciolus_0 ,_0 qui_0 saepius_0 de_0 hac_0 causa_0 altercationes_0 movebat_0 ._0
PRS-B	Parisius	Hic_0 autem_0 de_0 Parisius_PRS-B abscedens_0 ,_0 Andecavo_PRS-B venit_0 et_0 se_0 Audoveo_PRS-B episcopo_0 subdidit_0 propter_0 antiquam_0 amicitiam_0 ,_0 quam_0 simul_0 Parisius_PRS-B commorantes_0 habuerant_0 ;_0
PRS-B	Parisius	Hic_0 autem_0 de_0 Parisius_PRS-B abscedens_0 ,_0 Andecavo_PRS-B venit_0 et_0 se_0 Audoveo_PRS-B episcopo_0 subdidit_0 propter_0 antiquam_0 amicitiam_0 ,_0 quam_0 simul_0 Parisius_PRS-B commorantes_0 habuerant_0 ;_0
PRS-I	Parisiacae	unde_0 et_0 a_0 Ragnimodo_PRS-B Parisiacae_PRS-I urbis_0 episcopo_0 saepius_0 excommunicatus_0 est_0 ,_0 cur_0 ad_0 eclesiam_0 suam_0 ,_0 in_0 qua_0 diaconus_0 ordinatus_0 fuerat_0 ,_0 redire_0 differret_0 ._0
GEO-B	Parisiacae	Scripta_0 enim_0 ista_0 in_0 regestum_0 Chilperici_PRS-B regis_0 in_0 unum_0 scriniorum_0 pariter_0 sunt_0 reperta_0 ac_0 tunc_0 ad_0 eum_0 pervenerunt_0 ,_0 quando_0 ,_0 interempto_0 Chilperico_GEO-B ,_0 thesauri_0 eius_0 de_0 Calensi_GEO-B Parisiacae_GEO-B urbis_0 villa_0 ablati_0 ad_0 eundem_0 dilati_0 sunt_0 ._0
GEO-B	Parisiacae	Ragnimodus_0 quoque_0 Parisiacae_GEO-B urbis_0 episcopus_0 obiit_0 ._0
PRS-B	Parisius	Post_0 haec_0 autem_0 legatos_0 ad_0 Gunthchramnum_PRS-B regem_0 mittit_0 ,_0 dicens_0 <COLON>_0 '_0 Proficiscatur_PRS-B dominus_0 meus_0 rex_0 usque_0 Parisius_PRS-B ,_0 et_0 arcessitu_0 filio_0 meo_0 ,_0 nepote_0 suo_0 ,_0 iubeat_0 eum_0 baptismatis_0 gratia_0 consecrare_0 ;_0
PRS-B	Parisius	Haec_0 audiens_0 rex_0 ,_0 commotis_0 episcopis_0 ,_0 id_0 est_0 Aetherium_PRS-B Lugdonensim_PRS-B ,_0 Siacrium_PRS-B Agustidunensim_PRS-I Flavumque_GEO-B Cavillonensim_GEO-B vel_0 reliquis_0 ,_0 quos_0 voluit_0 ,_0 Parisius_PRS-B accedere_0 iubet_0 ,_0 indecans_0 se_0 postmodum_0 secuturum_0 ._0
PRS-B	Parisius	Postquam_0 autem_0 convaluit_0 ,_0 accessit_0 Parisius_PRS-B ,_0 exinde_0 ad_0 Rotoialinsim_GEO-B villam_0 ipsius_0 urbis_0 properans_0 ,_0 evocato_0 puero_0 ,_0 iussit_0 baptisterium_0 praepararis_0 in_0 vico_0 Nemptudoro_PRS-B ._0
PRS-B	Parisiacae	Sed_0 in_0 quantum_0 cernimus_0 ,_0 nihil_0 de_0 promissione_0 tua_0 custodis_0 ,_0 sed_0 potius_0 quae_0 promiseras_0 praetermittis_0 et_0 puerum_0 istum_0 in_0 urbis_0 Parisiacae_PRS-B cathedram_0 regem_0 statues_0 ._0
