all lines with 'Roman'...:
Tag	Token	Sentence
GRP-B	Romanorum	Romanorum_GRP-B sextus_0 Servius_0 ._0
PRS-B	Romanam	Ab_0 illis_0 enim_0 diebus_0 christiani_0 apud_0 civitatem_0 Romanam_PRS-B esse_0 coeperunt_0 ._0
PRS-B	Romanae	Sub_0 quo_0 beatus_0 Clemens_PRS-B -_0 tertius_0 Romanae_PRS-B eclesiae_0 fuit_0 episcopus_0 -_0 passus_0 et_0 sanctus_0 Simion_PRS-B Hierusolimitanus_PRS-B episcopus_0 ,_0 Cleuphe_PRS-B filius_0 ,_0 pro_0 Christi_PRS-B nomine_0 crucefixus_0 adseritur_0 ,_0 et_0 Ignatius_GRP-B Anthyocinsis_GRP-I episcopus_0 Romae_GEO-B ductus_0 ,_0 bisteis_0 deputatur_0 ._0
PRS-I	Romanae	Babillas_0 episcopus_0 Anthiocinus_PRS-B cum_0 tribus_0 parvolis_0 ,_0 id_0 est_0 Urban_GEO-B ,_0 Prilidan_PRS-B et_0 Epolon_PRS-B ,_0 et_0 Xystus_PRS-B Romanae_PRS-I eclesiae_0 episcopus_0 et_0 Laurentius_PRS-B archidiaconus_0 et_0 Hyppolitus_PRS-B ob_0 dominici_0 nominis_0 confessionem_0 per_0 martyrium_0 consummati_0 sunt_0 ._0
GRP-B	Romanum	Vicinsimo_0 septimo_0 loco_0 Valerianus_PRS-B et_0 Gallienus_PRS-B Romanum_GRP-B imperium_0 sunt_0 adepti_0 ,_0 qui_0 gravem_0 contra_0 christianus_0 persecutionem_0 suo_0 tempore_0 conmoverunt_0 ._0
GRP-B	Romanum	Sub_0 Diocliciano_PRS-B ,_0 qui_0 tricesimo_0 tertio_0 loco_0 Romanum_GRP-B rexit_0 imperium_0 ,_0 gravis_0 contra_0 christianos_0 per_0 annos_0 quattuor_0 persecutio_0 exagitata_0 est_0 ,_0 ita_0 ut_0 quadam_0 vice_0 in_0 ipso_0 sacratissimo_0 die_0 paschae_0 magni_0 christianorum_0 populi_0 ob_0 veri_0 Dei_PRS-B cultum_0 interficerentur_0 ._0
GRP-B	Romanorum	Romanorum_GRP-B tricesimus_0 quartus_0 imperium_0 obtinuit_0 Constantinus_GEO-B ,_0 annis_0 triginta_0 regnans_0 feliciter_0 ._0
GEO-B	Romanae	Melania_GEO-B vero_0 matrona_0 nobilis_0 et_0 incula_0 urbis_0 Romanae_GEO-B Hierusolimis_GEO-B ob_0 devotionem_0 abiit_0 ,_0 Urbano_PRS-B filio_0 Romae_GEO-B relecto_0 ._0
GRP-B	Romani	Post_0 haec_0 bellum_0 saevissimum_0 in_0 Thracias_GRP-B Romani_GRP-B gessire_0 ,_0 in_0 quo_0 tanta_0 stragis_0 fuit_0 ,_0 ut_0 Romani_GRP-B ,_0 amisso_0 equorum_0 praesidio_0 ,_0 pedebus_0 fugirent_0 ._0
GRP-B	Romani	Post_0 haec_0 bellum_0 saevissimum_0 in_0 Thracias_GRP-B Romani_GRP-B gessire_0 ,_0 in_0 quo_0 tanta_0 stragis_0 fuit_0 ,_0 ut_0 Romani_GRP-B ,_0 amisso_0 equorum_0 praesidio_0 ,_0 pedebus_0 fugirent_0 ._0
