all lines with 'Saxon'...:
Tag	Token	Sentence
PRS-I	Saxones	Fredegundis_0 enim_0 cum_0 audisset_0 ,_0 quod_0 in_0 hoc_0 procincto_0 Beppolenus_PRS-B abiret_0 ,_0 quia_0 ei_0 iam_0 ex_0 anteriore_0 tempore_0 invisus_0 erat_0 ,_0 Baiocassinos_PRS-B Saxones_PRS-I ,_0 iuxta_0 ritum_0 Brittanorum_PRS-B tonsos_0 atque_0 cultu_0 vestimenti_0 conpositos_0 ,_0 in_0 solatium_0 Waroci_0 abire_0 praecepit_0 ._0
PRS-B	Saxonibus	Adveniente_PRS-B autem_0 Beppoleno_PRS-B cum_0 his_0 qui_0 cum_0 eum_0 sequi_0 voluerunt_0 ,_0 certamen_0 iniit_0 multosque_0 per_0 biduum_0 de_0 Brittanis_PRS-B ac_0 Saxonibus_PRS-B suprascriptis_0 interimit_0 ._0
PRS-I	Saxonis	De_0 interitu_0 Chulderici_PRS-B Saxonis_PRS-I ._0
PRS-B	Saxonibus	Igitur_0 Childericus_PRS-B Aurilianis_PRS-B pugnas_0 egit_0 ,_0 Adovacrius_PRS-B vero_0 cum_0 Saxonibus_PRS-B Andecavo_GRP-B venit_0 ._0
GRP-B	Saxones	Magnum_0 ea_0 die_0 incendio_0 domus_0 aeclesiae_0 concremata_0 est._0 Bellum_GRP-B inter_0 Saxones_GRP-B ac_0 Romanus_PRS-B ._0
GRP-B	Saxones	His_0 ita_0 gestis_0 ,_0 inter_0 Saxones_GRP-B atque_0 Romanos_GRP-B bellum_0 gestum_0 est_0 ;_0
GRP-B	Saxones	sed_0 Saxones_GRP-B terga_0 vertentes_0 ,_0 multos_0 de_0 suis_0 ,_0 Romanis_GRP-B insequentibus_0 ,_0 gladio_0 reliquerunt_0 ;_0
PRS-B	Saxonibus	Eo_0 anno_0 rebellantibus_0 Saxonibus_PRS-B ,_0 Chlothacharius_PRS-B rex_0 ,_0 commoto_0 contra_0 eos_0 exercito_0 ,_0 maximam_0 eorum_0 partem_0 delevit_0 ,_0 pervagans_0 totam_0 Thoringiam_PRS-B ac_0 devastans_0 ,_0 pro_0 eo_0 quod_0 Saxonibus_PRS-B solatium_0 praebuissent_0 ._0
PRS-B	Saxonibus	Eo_0 anno_0 rebellantibus_0 Saxonibus_PRS-B ,_0 Chlothacharius_PRS-B rex_0 ,_0 commoto_0 contra_0 eos_0 exercito_0 ,_0 maximam_0 eorum_0 partem_0 delevit_0 ,_0 pervagans_0 totam_0 Thoringiam_PRS-B ac_0 devastans_0 ,_0 pro_0 eo_0 quod_0 Saxonibus_PRS-B solatium_0 praebuissent_0 ._0
PRS-B	Saxones	Quod_0 Chlothacharius_PRS-B contra_0 Saxones_PRS-B abiit_0 iterata_0 vice_0 ._0
