all lines with 'Chun'...:
Tag	Token	Sentence
PRS-B	Chundonis	De_0 interitu_0 Chundonis_PRS-B ,_0 cubicularii_0 eius_0 ._0
PRS-B	Chundonem	Cumque_0 custodem_0 silvae_0 artius_0 distringeret_0 ,_0 quis_0 haec_0 in_0 regale_0 silva_0 gerere_0 praesumpsissit_0 ,_0 Chundonem_PRS-B cubicularium_0 regis_0 prodidit_0 ._0
PRS-B	Chundo	Cumque_0 uterque_0 in_0 praesentia_0 regis_0 intenderent_0 et_0 Chundo_PRS-B diceret_0 ,_0 numquam_0 a_0 se_0 haec_0 praesumpta_0 quae_0 obiciebantur_0 ,_0 rex_0 campum_0 diiudicat_0 ._0
PRS-B	Chundo	Quod_0 videns_0 Chundo_PRS-B ,_0 ad_0 basilicam_0 sancti_0 Marcelli_0 fugam_0 iniit_0 ._0
PRS-B	Chunis	De_0 Aravatio_PRS-B episcopo_0 et_0 Chunis_PRS-B ._0
GRP-B	Chunos	Igitur_0 rumor_0 erat_0 ,_0 Chunos_GRP-B in_0 Galliis_GRP-B velle_0 prorumpere_0 ._0
PRS-B	Chunos	enim_0 apud_0 Domini_PRS-B deliberationem_0 prursus_0 sanccitum_0 est_0 ,_0 Chunos_PRS-B in_0 Gallias_GEO-B advenire_0 easque_0 maxima_0 tempestate_0 debere_0 depopulari_0 ._0
PRS-B	Chuni	enim_0 migraberis_0 a_0 corpore_0 ,_0 nec_0 videbunt_0 oculi_0 tui_0 mala_0 ,_0 quae_0 facturi_0 sunt_0 Chuni_PRS-B in_0 Galliis_PRS-B ,_0 sicut_0 locutus_0 est_0 dominus_0 Deus_PRS-B noster_0 '_0 ._0
PRS-B	Chuni	Igitur_0 Chuni_PRS-B a_0 Pannoniis_PRS-B egressi_0 ,_0 ut_0 quidam_0 ferunt_0 ,_0 in_0 ipsa_0 sanctae_0 paschae_0 vigilia_0 ad_0 Mettinsem_0 urbem_0 reliqua_0 depopulando_0 perveniunt_0 ,_0 tradentes_0 urbem_0 incendium_0 populum_0 in_0 ore_0 gladii_0 trucidantes_0 ipsusque_0 sacerdotes_0 Domini_PRS-B ante_0 sacrosancta_0 altaria_0 perimentes_0 ._0
PRS-B	Chunorum	Attela_0 vero_0 Chunorum_PRS-B rex_0 a_0 Mittense_PRS-B urbe_0 egrediens_0 ,_0 cum_0 multas_0 Galliarum_GRP-B civitates_0 oppraemeret_0 ,_0 Aurilianis_PRS-B adgreditur_0 eamque_0 maximo_0 arietum_0 inpulsu_0 nititur_0 expugnare_0 ._0
