all lines with 'Andecav'...:
Tag	Token	Sentence
PRS-B	Andecavo	Hic_0 autem_0 de_0 Parisius_PRS-B abscedens_0 ,_0 Andecavo_PRS-B venit_0 et_0 se_0 Audoveo_PRS-B episcopo_0 subdidit_0 propter_0 antiquam_0 amicitiam_0 ,_0 quam_0 simul_0 Parisius_PRS-B commorantes_0 habuerant_0 ;_0
GEO-B	Andecavae	Hic_0 in_0 tanta_0 familiaritate_0 cum_0 praefato_0 Andecavae_GEO-B urbis_0 episcopo_0 adhaeserat_0 ,_0 ut_0 non_0 se_0 possit_0 ab_0 eius_0 inportunitate_0 discutere_0 ,_0 pro_0 eo_0 quod_0 bonis_0 moribus_0 et_0 affectu_0 pio_0 erat_0 ._0
0	Andecavos	Andecavos_0 ,_0 Namneticos_PRS-B atque_0 Cenomanicos_PRS-B valida_0 famis_0 oppressit_0 ._0
PRS-B	Andecavus	Licinius_PRS-B ,_0 civis_0 Andecavus_PRS-B ,_0 qui_0 ob_0 amorem_0 Dei_PRS-B in_0 Oriente_PRS-B abiit_0 sanctaque_0 loca_0 revisit_0 ._0
PRS-B	Andecavum	Exinde_PRS-B digressus_0 ,_0 in_0 possessione_0 sua_0 monasterium_0 collocavit_0 infra_0 terminum_0 Andecavum_PRS-B ,_0 et_0 postea_0 abbatis_0 officium_0 monasterio_0 ,_0 ubi_0 sanctus_0 Venantius_PRS-B abba_0 sepultus_0 est_0 ,_0 functus_0 ,_0 ad_0 episcopatum_0 eligitur_0 ._0
PRS-B	Andecavo	Illa_0 vero_0 non_0 dedignans_0 munus_0 pauperis_0 ,_0 qui_0 personam_0 eius_0 non_0 intellexit_0 ,_0 accepit_0 et_0 gratias_0 egit_0 reposuitque_0 ,_0 hanc_0 suis_0 epulis_0 anteponens_0 et_0 benedictionem_0 ex_0 ea_0 singulis_0 diebus_0 sumens_0 ,_0 donec_0 expensa_0 est._0 Quod_0 Childericus_PRS-B Aurilianus_PRS-I et_0 Andecavo_PRS-B venit_0 Odovacrius_PRS-B ._0
GRP-B	Andecavo	Igitur_0 Childericus_PRS-B Aurilianis_PRS-B pugnas_0 egit_0 ,_0 Adovacrius_PRS-B vero_0 cum_0 Saxonibus_PRS-B Andecavo_GRP-B venit_0 ._0
GRP-B	Andecavo	Quo_0 defuncto_0 ,_0 Adovacrius_GRP-B de_0 Andecavo_GRP-B vel_0 aliis_0 locis_0 obsedes_0 accepit_0 ._0
PRS-I	Andecavus	Veniente_0 vero_0 Adovacrio_PRS-B Andecavus_PRS-I ,_0 Childericus_PRS-B rex_0 sequenti_0 die_0 advenit_0 ,_0 interemptoque_0 Paulo_PRS-B comite_0 ,_0 civitatem_0 obtinuit_0 ._0
GEO-B	Andecavum	Qui_0 ,_0 congregato_0 exercitu_0 ,_0 inter_0 terminum_0 Toronicum_GEO-B et_0 Andecavum_GEO-B usque_0 Sanctonas_PRS-B transiit_0 eamque_0 pervasit_0 ._0
PRS-B	Andecavi	Dehinc_PRS-B Toronici_PRS-B ,_0 Pictavi_PRS-B ,_0 Baiocassini_PRS-B ,_0 Caenomannici_PRS-B et_0 Andecavi_PRS-B cum_0 aliis_0 multis_0 in_0 Brittania_PRS-B ex_0 iussu_0 Chilperici_PRS-B regis_0 abierunt_0 et_0 contra_0 Varocum_PRS-B ,_0 filium_0 quondam_0 Macliavi_PRS-B ,_0 ad_0 Vicinoniam_PRS-B fluvium_0 resedent_0 ._0
GEO-B	Andecavo	Eunius_0 vero_0 episcopus_0 de_0 exilio_0 reductus_0 ,_0 Andecavo_GEO-B ad_0 pascendum_0 delegatur_0 nec_0 ad_0 civitatem_0 suam_0 Veneticam_GEO-B redire_0 permittitur_0 ._0
PRS-B	Andecavus	Post_0 haec_0 Elafius_PRS-B Catalaunensis_GRP-B episcopus_0 propter_0 causas_0 Brunichildis_PRS-B reginae_0 in_0 Hispaniis_GRP-B in_0 legatione_0 directus_0 ,_0 correptus_0 a_0 febre_0 nimia_0 ,_0 spiritum_0 exalavit_0 ,_0 et_0 exinde_0 delatus_0 mortuus_0 ,_0 ad_0 civitatem_0 suam_0 sepultus_0 est._0 Eonius_PRS-B quoque_0 episcopus_0 ,_0 quem_0 ligatum_0 Brittanorum_GRP-B supra_0 meminimus_0 ,_0 ad_0 civitatem_0 suam_0 regredi_0 non_0 permissus_0 ,_0 ut_0 Andecavus_PRS-B pasceretur_0 de_0 publico_0 ,_0 a_0 rege_0 praeceptum_0 est._0 Qui_0 Parisius_PRS-B adveniens_0 ,_0 dum_0 die_0 dominica_0 sacrosancta_0 sollemnia_0 celebraret_0 ,_0 emissa_0 cum_0 hinnitu_0 vocem_0 ,_0 terrae_0 conruit_0 ._0
PRS-B	Andecavensis	'_0 Sed_0 inpositam_0 eis_0 manum_0 ,_0 mundabat_0 eos._0 Post_0 haec_0 homo_0 erat_0 Andecavensis_PRS-B incola_0 ,_0 qui_0 per_0 nimiam_0 febrem_0 eloquium_0 pariter_0 auditumque_0 perdederat_0 ;_0
GRP-B	Andecavam	apud_0 Andecavam_GRP-B urbem_0 terra_0 tremuit_0 ;_0
GRP-B	Andecavisque	Berulfus_PRS-B vero_0 dux_0 cum_0 Toronicis_PRS-B ,_0 Pectavis_PRS-B Andecavisque_GRP-B atque_0 Namneticis_PRS-B ad_0 terminum_0 Bitoricum_GEO-B venit_0 ._0
GRP-B	Andecavo	In_0 Andecavo_GRP-B enim_0 terra_0 tremuit_0 ,_0 et_0 multa_0 alia_0 signa_0 apparuerunt_0 ,_0 quae_0 ,_0 ut_0 opinor_0 ,_0 ipsius_0 Gundovaldi_PRS-B interitum_0 nuntiarunt_0 ._0
0	Andecavus	Andecavus_0 vero_0 veniens_0 ,_0 multa_0 mala_0 ibidem_0 gessit_0 ,_0 ita_0 ut_0 annonas_0 ,_0 faenum_0 ,_0 vinum_0 vel_0 quicquid_0 repperire_0 potuisset_0 in_0 domibus_0 civium_0 ,_0 ad_0 quas_0 accesserat_0 ,_0 nec_0 expectatis_0 clavibus_0 ,_0 disruptis_0 osteis_0 ,_0 devastaret_0 ;_0
GRP-B	Andecavos	Antestius_0 vero_0 in_0 Andecavos_GRP-B a_0 rege_0 Gunthchramno_PRS-B dirigitur_0 ,_0 multis_0 ibidem_0 damnis_0 adfligens_0 eos_0 ,_0 qui_0 in_0 morte_0 Domnolae_PRS-B ,_0 uxoris_0 Nectarii_PRS-B ,_0 mixti_0 fuerunt_0 ._0
