all lines with 'Goth'...:
Tag	Token	Sentence
PRS-B	Gothis	Et_0 ob_0 hanc_0 causam_0 hic_0 pontifex_0 suspectus_0 habitus_0 a_0 Gothis_PRS-B ,_0 quod_0 se_0 Francorum_PRS-B dicionibus_0 subdere_0 vellit_0 ,_0 apud_0 urbem_0 Tholosam_PRS-B exilio_0 condempnatus_0 ,_0 in_0 eo_0 obiit_0 ._0
PRS-B	Gothis	Et_0 ipse_0 pro_0 memoratae_0 causae_0 zelo_0 suspectus_0 habitus_0 a_0 Gothis_PRS-B ,_0 in_0 exilio_0 deductus_0 vitam_0 finivit_0 ._0
PRS-B	Gothorum	Huius_0 tempore_0 Chlodovechus_PRS-B rex_0 victor_0 de_0 caede_0 Gothorum_PRS-B Turonus_PRS-I rediit_0 ._0
PRS-I	Gothorum	Multae_0 enim_0 heresis_0 eo_0 tempore_0 Dei_PRS-B eclesias_0 inpugnabant_0 ,_0 de_0 quibus_0 plerumque_0 ultio_0 divina_0 data_0 est._0 Nam_0 et_0 Athanaricus_PRS-B Gothorum_PRS-I rex_0 magnam_0 excitavit_0 persecutionem_0 ;_0
GRP-B	Gothorum	Aetius_0 et_0 Theudor_PRS-B Gothorum_GRP-B rex_0 ac_0 Thorismodus_PRS-B ,_0 filius_0 eius_0 ,_0 cum_0 exercitibus_0 suis_0 ad_0 civitatem_0 adcurrunt_0 adversumque_0 hostem_0 eieciunt_0 repelluntque_0 ._0
PRS-B	Gothis	Igitur_0 Aetius_PRS-B cum_0 Gothis_PRS-B Francisque_GRP-B coniunctus_0 adversus_0 Attilanem_PRS-B confligit_0 ._0
PRS-B	Gothorum	Theodor_0 vero_0 Gothorum_PRS-B rex_0 huic_0 certamine_0 subcubuit_0 ._0
PRS-B	Gothis	Renatus_0 Profuturus_PRS-B Frigiretus_PRS-I ,_0 cui_0 iam_0 supra_0 meminimus_0 ,_0 cum_0 Romam_GEO-B refert_0 a_0 Gothis_PRS-B captam_0 atque_0 subversam_0 ,_0 ait_0 <COLON>_0 Interea_GRP-B Respendial_PRS-B rex_0 Alanorum_PRS-B ._0
PRS-B	Gothi	Ultra_0 Ligerem_GEO-B vero_0 Gothi_PRS-B dominabantur_0 ._0
GRP-B	Gothis	Brittani_0 de_0 Bituricas_GRP-B a_0 Gothis_GRP-B expulsi_0 sunt_0 ,_0 multis_0 apud_0 Dolensim_PRS-B vicum_0 peremptis_0 ._0
PRS-I	Gothis	Paulos_0 vero_0 comes_0 cum_0 Romanis_GRP-B ac_0 Francis_PRS-B Gothis_PRS-I bella_0 intulit_0 et_0 praedas_0 egit_0 ._0
PRS-B	Gothorum	Eoricus_0 autem_0 Gothorum_PRS-B rex_0 Victorium_PRS-B ducem_0 super_0 septem_0 civitatis_0 praeposuit_0 anno_0 XIIII_0 ,_0 regni_0 sui._0 Qui_0 protinus_0 Arvernus_GRP-B adveniens_0 ,_0 civitatem_0 addere_0 voluit_0 ,_0 unde_0 et_0 criptae_0 illae_0 usque_0 hodie_0 perstant_0 ._0
PRS-B	Gothorum	Nam_0 quadam_0 vice_0 multitudinem_0 Gothorum_PRS-B cum_0 decim_0 viris_0 fugasse_0 perscribitur_0 ._0
GRP-B	Gothorum	Huius_0 temporis_0 et_0 Euarix_PRS-B rex_0 Gothorum_GRP-B ,_0 excidens_0 Hispanum_GRP-B limitem_0 ,_0 gravem_0 in_0 Galliis_GRP-B super_0 christianis_0 intulit_0 persecutionem_0 ._0
PRS-B	Gothis	In_0 cuius_0 loco_0 Volusianus_PRS-B ,_0 unus_0 ex_0 senatoribus_0 ,_0 subrogatus_0 est._0 Sed_0 a_0 Gothis_PRS-B suspectus_0 habitus_0 ,_0 episcopatus_0 sui_0 anno_0 septimo_0 in_0 Hispaniis_0 est_0 quasi_0 captivus_0 adductus_0 ,_0 sed_0 protinus_0 vitam_0 finivit_0 ._0
PRS-B	Gothorum	Ad_0 ille_0 metuens_0 ,_0 ne_0 propter_0 eum_0 iram_0 Francorum_PRS-B incurrerit_0 ,_0 ut_0 Gothorum_PRS-B pavere_0 mos_0 est_0 ,_0 vinctum_0 legatis_0 tradedit_0 ._0
PRS-B	Gothorum	Igitur_0 Alaricus_PRS-B rex_0 Gothorum_PRS-B cum_0 viderit_0 ,_0 Chlodovechum_PRS-B regem_0 gentes_0 assiduae_0 debellare_0 ,_0 legatus_0 ad_0 eum_0 dirigit_0 ,_0 dicens_0 <COLON>_0 '_0 Si_0 frater_0 meus_0 vellit_0 ,_0 insederat_0 animo_0 ,_0 ut_0 nos_0 Deo_PRS-B propitio_0 pariter_0 videremus_0 '_0 ._0
PRS-B	Gothos	Post_0 dies_0 autem_0 paucos_0 ,_0 orto_0 inter_0 eum_0 et_0 cives_0 scandalum_0 ,_0 Gothos_PRS-B ,_0 qui_0 in_0 hac_0 urbe_0 morabantur_0 ,_0 suspitio_0 attigit_0 ,_0 exprobrantibus_0 civibus_0 ,_0 quod_0 velit_0 se_0 Francorum_PRS-B ditionibus_0 subiugare_0 ;_0
PRS-B	Gothorum	Interea_0 Chlodovechus_PRS-B rex_0 cum_0 Alarico_PRS-B rege_0 Gothorum_PRS-B in_0 campo_0 Vogladense_GEO-B decimo_0 ab_0 urbe_0 Pictava_GRP-B miliario_0 convenit_0 ,_0 et_0 confligentibus_0 his_0 eminus_0 ,_0 resistunt_0 comminus_0 illi_0 ._0
