all lines with 'Hispan'...:
Tag	Token	Sentence
GRP-B	Hispanis	Eunte_0 autem_0 comite_0 ,_0 ut_0 debitum_0 fisco_0 servitium_0 solite_0 deberet_0 inferre_0 ,_0 adfuerunt_0 et_0 hi_0 coram_0 rege_0 ,_0 offerentes_0 balteum_0 magnum_0 ex_0 auro_0 lapidibusque_0 pretiosis_0 ornatum_0 gladiumque_0 mirabile_0 ,_0 cuius_0 capulum_0 ex_0 gemmis_0 Hispanis_GRP-B auroque_0 dispositum_0 erat_0 ._0
GEO-B	Hispaniae	Sed_0 ne_0 christiani_0 ut_0 Iudei_0 sub_0 hac_0 luna_0 haec_0 solemnia_0 celebrarent_0 ,_0 addidit_0 <COLON>_0 Latini_0 autem_0 luna_0 XXII._0 Ob_0 hoc_0 multi_0 in_0 Galliis_GRP-B XV._0 luna_0 celebraverunt_0 ,_0 nos_0 autem_0 XXII._0 Inquesivimus_0 tamen_0 studiosae_0 ,_0 sed_0 fontes_0 Hispaniae_GEO-B ,_0 quae_0 divinitus_0 implentur_0 ,_0 in_0 nostrum_0 pascha_0 repleti_0 sunt_0 ._0
GEO-B	Hispania	Hic_0 prohibuit_0 Maximum_PRS-B ,_0 ne_0 gladium_0 in_0 Hispania_GEO-B ad_0 interficiendos_0 destinaret_0 haereticos_0 ,_0 quibus_0 sufficere_0 statuit_0 ,_0 quod_0 a_0 catholicorum_0 ecclesiis_0 erant_0 vel_0 communione_0 remoti_0 ._0
GEO-B	Hispaniae	interfectoque_0 puero_0 ,_0 placitum_0 egrediendi_0 Trasamundus_PRS-B spondit_0 ,_0 ut_0 scilicet_0 ,_0 praeparatis_0 itineris_0 necessariis_0 ,_0 se_0 a_0 finibus_0 Hispaniae_GEO-B removerit_0 ._0
GEO-B	Hispaniam	Per_0 idem_0 vero_0 tempus_0 persecutionem_0 in_0 christianus_0 Trasamundus_PRS-B exercuit_0 ac_0 totam_0 Hispaniam_GEO-B ,_0 ut_0 perfidiam_0 Arrianae_PRS-B sectae_0 consentiret_0 ,_0 tormentes_0 ac_0 diversis_0 mortibus_0 inpellebat_0 ._0
PRS-B	Hispaniis	Tamen_0 cum_0 ait_0 ,_0 quod_0 Constantinus_PRS-B ,_0 adsumpta_0 tyrannide_0 ,_0 Constantium_PRS-B filium_0 ad_0 se_0 de_0 Hispaniis_PRS-B venire_0 iussisset_0 ,_0 ita_0 disseruit_0 <COLON>_0 Accito_PRS-B Constantinus_PRS-B tyrannus_0 de_0 Hispaniis_PRS-B Constante_PRS-B filio_0 idemque_0 tyranno_0 ,_0 quo_0 de_0 summa_0 rerum_0 consultarent_0 praesentes_0 ;_0
PRS-B	Hispaniis	Tamen_0 cum_0 ait_0 ,_0 quod_0 Constantinus_PRS-B ,_0 adsumpta_0 tyrannide_0 ,_0 Constantium_PRS-B filium_0 ad_0 se_0 de_0 Hispaniis_PRS-B venire_0 iussisset_0 ,_0 ita_0 disseruit_0 <COLON>_0 Accito_PRS-B Constantinus_PRS-B tyrannus_0 de_0 Hispaniis_PRS-B Constante_PRS-B filio_0 idemque_0 tyranno_0 ,_0 quo_0 de_0 summa_0 rerum_0 consultarent_0 praesentes_0 ;_0
GEO-B	Hispanias	quo_0 factum_0 est_0 ,_0 ut_0 Constans_PRS-B ,_0 instrumento_0 aulae_0 et_0 coniuge_0 sua_0 Caesaraugustae_PRS-B dimissis_0 ,_0 Gerontio_PRS-B intra_0 Hispanias_GEO-B omnibus_0 creditis_0 ,_0 ad_0 patrem_0 continuato_0 itinere_0 decurreret_0 ._0
GEO-B	Hispanias	Qui_0 ubi_0 in_0 unum_0 venere_0 ,_0 interiectis_0 diebus_0 plurimis_0 ,_0 nullo_0 ex_0 Italia_GEO-B metu_0 ,_0 Constantinus_PRS-B gulae_0 et_0 ventre_0 deditus_0 redire_0 ad_0 Hispanias_GEO-B filium_0 monet_0 ._0
GEO-B	Hispania	Qui_0 ,_0 praemissis_0 agminibus_0 ,_0 dum_0 cum_0 patre_0 resederet_0 ,_0 ab_0 Hispania_GEO-B nuntii_0 commeant_0 ,_0 Gerontio_PRS-B Maximum_PRS-I unum_0 e_0 clientibus_0 suis_0 imperio_0 praeditum_0 atque_0 in_0 se_0 cometatu_0 gentium_0 barbararum_0 accinctum_0 parari_0 ._0
GRP-B	Hispanum	Huius_0 temporis_0 et_0 Euarix_PRS-B rex_0 Gothorum_GRP-B ,_0 excidens_0 Hispanum_GRP-B limitem_0 ,_0 gravem_0 in_0 Galliis_GRP-B super_0 christianis_0 intulit_0 persecutionem_0 ._0
0	Hispaniis	In_0 cuius_0 loco_0 Volusianus_PRS-B ,_0 unus_0 ex_0 senatoribus_0 ,_0 subrogatus_0 est._0 Sed_0 a_0 Gothis_PRS-B suspectus_0 habitus_0 ,_0 episcopatus_0 sui_0 anno_0 septimo_0 in_0 Hispaniis_0 est_0 quasi_0 captivus_0 adductus_0 ,_0 sed_0 protinus_0 vitam_0 finivit_0 ._0
GEO-B	Hispaniae	Cumque_0 magna_0 virtute_0 pollerent_0 et_0 eis_0 de_0 exercitu_0 rubor_0 cupiosus_0 inesset_0 ,_0 Amalaricus_PRS-B ,_0 filius_0 Alarici_PRS-B ,_0 rex_0 Hispaniae_GEO-B sororem_0 eorum_0 in_0 matrimonio_0 postolat_0 ,_0 quod_0 ille_0 clementer_0 indulgent_0 et_0 eam_0 ipse_0 in_0 regionem_0 Hispaniae_GEO-B cum_0 magnorum_0 ornamentorum_0 mole_0 transmittunt_0 ._0
GEO-B	Hispaniae	Cumque_0 magna_0 virtute_0 pollerent_0 et_0 eis_0 de_0 exercitu_0 rubor_0 cupiosus_0 inesset_0 ,_0 Amalaricus_PRS-B ,_0 filius_0 Alarici_PRS-B ,_0 rex_0 Hispaniae_GEO-B sororem_0 eorum_0 in_0 matrimonio_0 postolat_0 ,_0 quod_0 ille_0 clementer_0 indulgent_0 et_0 eam_0 ipse_0 in_0 regionem_0 Hispaniae_GEO-B cum_0 magnorum_0 ornamentorum_0 mole_0 transmittunt_0 ._0
GEO-B	Hispaniam	Quod_0 certissime_0 Childeberthus_PRS-B cognoscens_0 ,_0 ab_0 Arverno_PRS-B rediit_0 et_0 Hispaniam_GEO-B propter_0 sororem_0 suam_0 Chlotchildem_PRS-B dirigit_0 ._0
GEO-B	Hispanias	Nam_0 plerumque_0 procedente_0 illa_0 ad_0 sanctam_0 eclesiam_0 ,_0 stercora_0 et_0 diversos_0 fetores_0 super_0 eam_0 proieci_0 imperabat_0 ,_0 ad_0 extremum_0 autem_0 tanta_0 eam_0 crudilitate_0 dicitur_0 caecidisse_0 ,_0 ut_0 infectum_0 de_0 proprio_0 sanguine_0 sudarium_0 fratri_0 transmitteret_0 ,_0 unde_0 ille_0 maxime_0 commotus_0 ,_0 Hispanias_GEO-B appetivit_0 ._0
GEO-B	Hispaniis	Quod_0 Childeberthus_PRS-B in_0 Hispaniis_GEO-B abierunt_0 ._0
GEO-B	Hispaniis	Quod_0 Childeberthus_PRS-B et_0 Chlothacharius_PRS-B in_0 Hispaniis_GEO-B abierunt_0 ._0
GEO-B	Hispaniam	Post_0 haec_0 Childeberthus_PRS-B rex_0 in_0 Hispaniam_GEO-B abiit_0 ._0
GEO-B	Hispaniae	Tamen_0 adquisitam_0 maximam_0 Hispaniae_GEO-B partem_0 ,_0 cum_0 magnis_0 spoliis_0 in_0 Galliis_PRS-B redierunt_0 ._0
PRS-B	Hispanorum	De_0 regibus_0 Hispanorum_PRS-B ._0
GRP-B	Hispaniis	Post_0 Amalaricum_PRS-B vero_0 Theuda_PRS-B rex_0 ordinatus_0 est_0 in_0 Hispaniis_GRP-B ._0
PRS-B	Hispanorum	De_0 Hispanorum_PRS-B regibus_0 ._0
GEO-B	Hispaniam	Regnante_0 vero_0 Agilane_GEO-B apud_0 Hispaniam_GEO-B ,_0 cum_0 populum_0 gravissimo_0 dominationis_0 suae_0 iugo_0 adterriret_0 ,_0 exercitus_0 imperatoris_0 Hispanias_GEO-B est_0 ingressus_0 et_0 civitates_0 aliquas_0 pervasit_0 ._0
