all lines with 'Trever'...:
Tag	Token	Sentence
GRP-B	Treverorum	Sed_0 et_0 Maximinus_PRS-B Treverorum_GRP-B episcopus_0 potens_0 in_0 omni_0 sanctitate_0 repperitur_0 ._0
PRS-B	Treverica	Maximus_0 vero_0 cum_0 per_0 tyrannidem_0 oppraessis_0 Brittanis_PRS-B sumsisset_0 victuriam_0 ,_0 a_0 militibus_0 imperator_0 creatus_0 est._0 In_0 urbe_0 Treverica_PRS-B sedem_0 instituens_0 ,_0 Gratianum_PRS-B imperatorem_0 circumventum_0 dolis_0 interfecit_0 ._0
PRS-B	Treverici	Unde_0 factum_0 est_0 ,_0 ut_0 imperatoris_0 Treverici_PRS-B filiam_0 expetitus_0 ab_0 spiritu_0 inmundo_0 curaret_0 ,_0 quod_0 in_0 libro_0 illo_0 ,_0 quem_0 de_0 eius_0 vita_0 conscripsimus_0 ,_0 memoravimus_0 ._0
GRP-B	Treveris	A_0 Treveris_GRP-B vero_0 legati_0 in_0 Spaniam_GRP-B mittebantur_0 ,_0 ex_0 quibus_0 Artemius_PRS-B quidam_0 admirabilis_0 sapientiae_0 atque_0 pulchritudinis_0 et_0 prima_0 aetate_0 florens_0 ,_0 vi_0 febrium_0 est_0 correptus_0 ._0
PRS-B	Treverus	nam_0 eo_0 tempore_0 apud_0 Treverus_PRS-B sponsali_0 erat_0 vinculo_0 nexus_0 ._0
PRS-B	Treverus	Quod_0 ubi_0 Treverus_PRS-B perlatum_0 est_0 ,_0 Nanninus_GRP-B et_0 Quintinus_GRP-B militaris_0 magistri_0 ,_0 quibus_0 infantiam_0 filii_0 et_0 defensionem_0 Galliarum_PRS-B Maximus_GRP-B conmiserat_0 ,_0 collecto_0 exercitu_0 ,_0 apud_0 Agripinam_GRP-B convenerunt_0 ._0
GEO-B	Treverus	et_0 deinceps_0 ait_0 <COLON>_0 Post_0 dies_0 paucolus_0 ,_0 Marcomere_PRS-B et_0 Sunnone_PRS-B Francorum_GRP-B regalibus_0 transacto_0 cursim_0 conloquio_0 imperatisque_0 ex_0 more_0 obsidibus_0 ,_0 ad_0 hiemandum_0 Treverus_GEO-B concessit_0 ._0
GRP-B	Treverorum	Treverorum_GRP-B civitas_0 a_0 Francis_GRP-B direpta_0 incensaque_0 est_0 secunda_0 inruptione_0 ._0
PRS-B	Treverici	Erat_0 enim_0 intra_0 Treverici_PRS-B termini_0 territurio_0 cuidam_0 barbaro_0 serviens_0 ._0
PRS-B	Treverecam	Ille_0 vero_0 in_0 periculum_0 se_0 positum_0 cernens_0 ,_0 confugium_0 ab_0 urbe_0 facit_0 ac_0 duobus_0 episcopis_0 suppliciter_0 exorat_0 ,_0 ut_0 eum_0 ad_0 urbem_0 Treverecam_PRS-B deducentes_0 ,_0 populi_0 saevientes_0 seditionem_0 sua_0 praedicatione_0 conpraemerent_0 ._0
GRP-B	Treverensis	Est_0 enim_0 vir_0 egregiae_0 sanctitatis_0 et_0 in_0 oratione_0 assiduus_0 ,_0 de_0 quo_0 mihi_0 Magnericus_PRS-B Treverensis_GRP-B episcopus_0 haec_0 retulit_0 <COLON>_0 Ante_0 hos_0 annos_0 cum_0 ad_0 praesentia_0 Childeberthi_PRS-B regis_0 ita_0 sub_0 ardua_0 custodia_0 duceretur_0 ,_0 ut_0 ,_0 quandoque_0 ad_0 urbem_0 aliquam_0 venisset_0 ,_0 neque_0 episcopum_0 neque_0 quemquam_0 de_0 civibus_0 videre_0 permitteretur_0 ,_0 adveniens_0 Treverus_PRS-B ,_0 nuntiatum_0 est_0 episcopo_0 ,_0 hunc_0 iam_0 in_0 navi_0 positum_0 clam_0 abduci_0 ._0
PRS-B	Treverus	Est_0 enim_0 vir_0 egregiae_0 sanctitatis_0 et_0 in_0 oratione_0 assiduus_0 ,_0 de_0 quo_0 mihi_0 Magnericus_PRS-B Treverensis_GRP-B episcopus_0 haec_0 retulit_0 <COLON>_0 Ante_0 hos_0 annos_0 cum_0 ad_0 praesentia_0 Childeberthi_PRS-B regis_0 ita_0 sub_0 ardua_0 custodia_0 duceretur_0 ,_0 ut_0 ,_0 quandoque_0 ad_0 urbem_0 aliquam_0 venisset_0 ,_0 neque_0 episcopum_0 neque_0 quemquam_0 de_0 civibus_0 videre_0 permitteretur_0 ,_0 adveniens_0 Treverus_PRS-B ,_0 nuntiatum_0 est_0 episcopo_0 ,_0 hunc_0 iam_0 in_0 navi_0 positum_0 clam_0 abduci_0 ._0
0	Trevericae	Deinde_0 territurium_0 Trevericae_0 urbis_0 expetii_0 ,_0 et_0 in_0 quo_0 nunc_0 estis_0 monte_0 habitaculum_0 quod_0 cernitis_0 proprio_0 labore_0 construxi_0 ._0
GRP-B	Treverorum	Quod_0 Childebertho_PRS-B filius_0 natus_0 est._0 Post_0 haec_0 Childebertho_PRS-B regi_0 filius_0 natus_0 est_0 ,_0 qui_0 a_0 Magnerico_PRS-B Treverorum_GRP-B episcopo_0 de_0 sacro_0 fonte_0 susceptus_0 ,_0 Theodoberthus_GRP-B est_0 vocitatus_0 ._0
GEO-B	Trevericae	Adfuit_0 autem_0 et_0 Magnericus_GEO-B episcopus_0 Trevericae_GEO-B urbis_0 ._0
